record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2026,2026 Q1 Unaudited Financial Results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-statement-of-financial-position.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Standard Chartered Bank Kenya PLC,SCBK,Periodic results material,Financial results / statements,2025,Abridged Financials FY 2025,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-abridged-financials-fy-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2026,Policies for Shareholder Approval - 2026 Annual General Meeting,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-policies-for-shareholder-annual-general-meeting.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2025,2025 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-annual-report-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2025,2025 Q3 Financial Results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-financial-results-q3-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2025,Q3 2025 Financial Results - Press release,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-financial-results-q3-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2025,2025 Q1 Unaudited Financial results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-q1-2025-unaudited-financials-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Standard Chartered Bank Kenya PLC,SCBK,Periodic results material,Financial results / statements,2024,Abridged Financials FY 2024,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-abridged-financials-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2025,Full Year 2025 Results Presentation,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/sc-ke-fy-investor-briefing.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2024,2024 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-annual-report-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2024,Full Year 2024 Results Presentation,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-investor-briefing-19-march-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2024,2024 Q3 Financial Results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-financials-full-nation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2024,Q3 2024 Financial Results – Press Release,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scb-q3-2024-results-press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Standard Chartered Bank Kenya PLC,SCBK,Periodic results material,Financial results / statements,2023,Abridged Financials FY 2023.,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-abridged-financials.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2024,2024 Q1 Unaudited Financial results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scbk-financial-results-q1-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2023,2023 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-2023-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2023,Full Year 2023 Results Presentation.,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-fy-23-results-and-strategy-presentation-vff.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2023,2023 Q3 Unaudited Financial results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-sc-q3-publication.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,Standard Chartered Bank Kenya PLC,SCBK,Quarterly,Financial results / statements,2023,Q1 2023 Unaudited Results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scb-2023-q1-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2023,2023 Annual General Meeting Notice,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-2023-annual-general-meeting-notice.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00021,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2022,2022 Audited Financial Statements,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-2023-audited-financial-statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00022,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2022,2022 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scb-annual-report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00023,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2022,2022 Annual General Meeting Notice,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scb-2022-annual-general-meeting-notice.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00024,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2021,2021 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-scbkl-2021-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00025,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2021,2021 Annual General Meeting Notice,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-2021-annual-general-meeting-notice.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00026,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2020,2020 Annual Report,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-2020-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00027,Standard Chartered Bank Kenya PLC,SCBK,Annual / full-year,Annual report,2020,2020 Full Year Audited Results,https://www.sc.com/ke/investor-relations/,https://av.sc.com/ke/content/docs/ke-full-year-2020-audited-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
