record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2025,2025 Annual Integrated Report,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/2025-integrated-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2024,Absa Bank Kenya PLC Principles for Responsible Banking 2024 Report,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/principles-for-responsible-banking-report-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2024,Absa Bank Kenya PLC integrated report 2024,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2023,Absa Bank Kenya PLC Principles for Responsible Banking 2023 Report,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/principles-for-responsible-banking-report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2023,Absa Bank Kenya PLC Climate Report 2023,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/2023-climate-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2023,Absa Bank Kenya PLC integrated report 2023,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2022,Absa Bank Kenya PLC 2022 Integrated Report,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Financial-Results/integrated-report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Absa Bank Kenya PLC,ABSA,Periodic results material,Financial results / statements,2022,Climate-related financial disclosures 2022,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Financial-Results/climate-related-financial-disclosures-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2021,Absa Bank Kenya PLC 2021 Integrated Report,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2020,Absa Bank Kenya PLC Integrated Report 2020,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,,Amended draft Memorandum and Articles of Association of the Company,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/draft-memorandum-and-articles.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,,Matrix of changes to the Articles of Association of the Company,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/matrix-of-changes-in-articles-of-association.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,,CMA - Letter of no objection,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/cma-no-objections-letter.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2019,Absa Bank Kenya PLC Integrated Report 2019,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Absa Bank Kenya PLC,ABSA,Annual / full-year,Annual report,2019,Absa Africa Financial Markets Index 2019,https://www.absabank.co.ke/investor-relations/,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/absa-africa-financial-markets-index-2019.PDF,linked from source page,application/pdf (inferred from URL),Issuer website
